Location,Area,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,No additional rooms,Prayer Rooms,Lounge or Sitting Room,Price
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2.1 Crore
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2.1 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,5,3,1,1,1,2,1,0,1,0,0,0,1,PKR1.35 Crore
"Bahria Town, Lahore, Punjab",8 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2.3 Crore
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2.15 Crore
"Bahria Nasheman, Lahore, Punjab",8 Marla,6,5,1,1,1,2,1,0,1,0,0,0,1,PKR2.15 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,5,3,1,1,1,2,1,0,1,0,0,0,1,PKR1.45 Crore
"Central Park Housing Scheme, Lahore, Punjab",5 Marla,5,5,0,0,0,0,0,0,0,0,1,0,0,PKR1.35 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR8.9 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR9.8 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,1,0,PKR6.49 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR6.25 Crore
"Johar Town, Lahore, Punjab",3.1 Kanal,4,4,1,1,0,0,1,0,1,1,0,1,1,PKR16.5 Crore
"DHA 11 Rahbar, Lahore, Punjab",5 Marla,4,3,1,1,0,0,1,0,1,1,0,1,1,PKR2.3 Crore
"Bahria Town, Lahore, Punjab",14.5 Marla,6,5,1,1,1,2,1,0,1,0,0,0,1,PKR8.2 Crore
"Jubilee Town, Lahore, Punjab",3 Marla,3,3,1,0,0,2,1,0,0,0,0,0,0,PKR1.37 Crore
"Canal Garden, Lahore, Punjab",5 Marla,6,5,1,0,0,2,1,0,1,0,0,0,1,PKR2 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.1 Crore
"PIA Housing Scheme, Lahore, Punjab",1.1 Kanal,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR5.5 Crore
"GT Road, Lahore, Punjab",3.5 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR1.4 Crore
"DHA 11 Rahbar, Lahore, Punjab",8 Marla,5,5,1,1,0,2,1,0,0,0,0,0,1,PKR3.4 Crore
"Al Rehman Garden, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR1.55 Crore
"Al Rehman Garden, Lahore, Punjab",5 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR1.65 Crore
"Lahore Medical Housing Society, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR1.65 Crore
"Bahria Nasheman, Lahore, Punjab",8 Marla,6,5,1,1,1,2,1,0,1,0,0,0,1,PKR2.25 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,5,3,1,1,1,2,1,0,1,0,0,0,1,PKR1.32 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,5,3,1,1,1,2,1,0,1,0,0,0,1,PKR1.42 Crore
"Bahria Nasheman, Lahore, Punjab",8 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.1 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,4,3,0,0,0,0,0,0,0,0,1,0,0,PKR1.5 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,6,3,1,1,1,2,1,0,1,0,0,0,1,PKR1.45 Crore
"DHA Defence, Lahore, Punjab",8 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR3.95 Crore
"DHA Defence, Lahore, Punjab",8 Marla,5,4,0,0,0,0,0,0,0,0,0,0,0,PKR3.85 Crore
"Bahria Town, Lahore, Punjab",5 Marla,3,3,0,0,1,2,1,0,1,0,0,0,1,PKR2.3 Crore
"Bahria Town, Lahore, Punjab",5 Marla,3,3,0,0,1,2,1,0,1,0,0,0,1,PKR2.4 Crore
"Raiwind Road, Lahore, Punjab",10 Marla,6,5,1,0,1,2,1,0,0,0,0,0,1,PKR3.8 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,0,0,0,PKR9.35 Crore
"Raiwind Road, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,1,0,1,1,PKR2.45 Crore
"Canal Garden, Lahore, Punjab",5 Marla,6,5,1,0,0,2,1,0,1,0,0,0,1,PKR2.15 Crore
"Canal Garden, Lahore, Punjab",5 Marla,6,5,1,0,0,2,1,0,1,0,0,0,1,PKR2.1 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,0,PKR16.5 Crore
"Formanites Housing Scheme, Lahore, Punjab",5.2 Marla,5,4,1,0,0,2,1,0,1,0,0,0,1,PKR1.75 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,1,0,0,2,1,0,1,0,0,0,1,PKR3.68 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR3.9 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,7,6,1,1,1,2,1,1,1,1,0,1,1,PKR25 Crore
"Lahore Medical Housing Society, Lahore, Punjab",8 Marla,6,6,0,0,0,0,0,0,0,0,1,0,0,PKR2.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,3,1,0,1,1,0,1,1,PKR6.55 Crore
"Wapda Town, Lahore, Punjab",5 Marla,5,5,0,0,0,0,0,0,0,0,1,0,0,PKR2.7 Crore
"Wapda Town, Lahore, Punjab",10 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR3.85 Crore
"Wapda Town, Lahore, Punjab",10 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR4.95 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,7,0,0,0,0,0,0,0,0,0,0,0,PKR5.25 Crore
"Sukh Chayn Gardens, Lahore, Punjab",2 Kanal,6,8,0,0,0,0,0,0,0,0,0,0,0,PKR12.5 Crore
"Raiwind Road, Lahore, Punjab",5 Marla,5,3,1,0,0,1,1,0,1,0,0,0,0,PKR2.65 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.9 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.9 Crore
"Bahria Town, Lahore, Punjab",5.8 Marla,4,3,1,1,0,2,1,0,0,0,0,0,1,PKR2.9 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,0,0,1,1,PKR5.3 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,1,0,1,2,1,0,0,0,0,0,1,PKR1.84 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,3,1,0,1,0,0,1,1,PKR10.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,0,0,0,0,0,0,0,0,1,0,0,PKR7.75 Crore
"State Life Housing Society, Lahore, Punjab",1 Kanal,6,5,1,1,1,3,1,1,1,1,0,1,1,PKR5.25 Crore
"Canal Garden, Lahore, Punjab",5 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR1.68 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,0,0,0,2,1,0,0,0,0,0,0,PKR1.89 Crore
"Formanites Housing Scheme, Lahore, Punjab",5 Marla,4,3,1,0,0,2,1,0,1,0,0,0,1,PKR2.25 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR3.4 Crore
"Wapda Town, Lahore, Punjab",10 Marla,6,6,1,1,1,2,1,0,1,1,0,1,1,PKR5.15 Crore
"Wapda Town, Lahore, Punjab",1 Kanal,6,6,1,1,2,2,1,1,1,1,0,1,1,PKR4.8 Crore
"Bahria Orchard, Lahore, Punjab",5 Marla,3,3,1,0,0,2,1,0,0,0,0,0,0,PKR1.95 Crore
"DHA Defence, Lahore, Punjab",11 Marla,5,5,0,0,1,2,0,0,0,0,0,0,0,PKR4.45 Crore
"Garden Town, Lahore, Punjab",3 Kanal,6,4,0,0,1,1,0,0,0,0,0,0,0,PKR24.5 Crore
"Bahria Town, Lahore, Punjab",8 Marla,6,5,1,0,0,2,1,0,1,0,0,1,1,PKR2.6 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,0,2,1,0,1,1,0,1,1,PKR1.9 Crore
"Canal Garden, Lahore, Punjab",10 Marla,6,6,1,1,1,2,1,1,1,1,0,1,1,PKR3.6 Crore
"Taj Bagh Scheme, Lahore, Punjab",3 Marla,3,4,0,0,0,0,0,0,0,0,1,0,0,PKR1 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,5,0,1,2,2,1,0,1,1,0,0,0,PKR13.5 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,1,0,0,2,1,0,0,0,0,0,1,PKR1.8 Crore
"Bedian Road, Lahore, Punjab",5 Marla,4,4,1,1,1,2,1,0,1,1,0,1,1,PKR1.45 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR9.35 Crore
"DHA Defence, Lahore, Punjab",5 Marla,3,3,0,0,0,0,0,0,0,0,1,0,0,PKR2.75 Crore
"Al Faisal Town, Lahore, Punjab",1.5 Marla,2,2,0,0,0,2,0,0,0,0,0,0,0,PKR50 Lakh
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4.85 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR6.9 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR35 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR8.45 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.25 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,1,1,1,1,1,0,1,1,PKR2 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.1 Crore
"Canal Bank Housing Scheme, Lahore, Punjab",2.8 Marla,3,3,1,1,0,2,1,1,1,1,0,1,1,PKR95 Lakh
"Awan Town, Lahore, Punjab",1 Kanal,-,6,1,1,1,2,1,0,1,0,0,0,1,PKR4.5 Crore
"Bahria Town, Lahore, Punjab",5 Marla,3,3,1,0,0,2,1,0,0,0,0,0,0,PKR2.5 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,0,2,1,1,1,1,0,1,1,PKR2.2 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR8.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,4,4,0,0,0,0,0,0,0,0,1,0,0,PKR4.35 Crore
"Al Rehman Garden, Lahore, Punjab",5 Marla,4,4,0,0,0,0,0,0,0,0,1,0,0,PKR1.55 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR7.25 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR11.25 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,1,1,2,1,0,1,0,0,0,1,PKR3.75 Crore
"Central Park Housing Scheme, Lahore, Punjab",10 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR3.15 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,-,7,1,1,2,2,1,0,1,0,0,1,1,PKR16.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR8.6 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR8.35 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR7.45 Crore
"Paragon City, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR7.2 Crore
"Cantt, Lahore, Punjab",2 Kanal,6,6,0,0,0,0,0,0,0,0,1,0,0,PKR25 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,7,0,0,0,0,0,0,0,0,1,0,0,PKR11.95 Crore
"Cantt, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR8.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR7.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR3.9 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,0,1,0,1,1,PKR1.9 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,3,1,1,1,1,0,1,1,PKR6.15 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR6.65 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,0,1,2,1,1,1,1,0,1,1,PKR5.3 Crore
"Model Town, Lahore, Punjab",2.9 Kanal,6,6,0,0,4,3,0,0,0,0,0,0,0,PKR29 Crore
"Gulberg, Lahore, Punjab",2 Kanal,7,6,1,1,2,3,1,1,1,1,0,1,1,PKR20 Crore
"Gulberg, Lahore, Punjab",1.1 Kanal,7,6,1,1,2,2,1,1,1,1,0,1,1,PKR7.5 Crore
"Nasheman-e-Iqbal, Lahore, Punjab",5 Marla,4,4,0,0,0,0,0,0,0,0,1,0,0,PKR1.65 Crore
"Military Accounts Housing Society, Lahore, Punjab",4 Marla,4,3,0,0,1,2,1,0,0,0,0,0,0,PKR98 Lakh
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR9.95 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,0,0,0,0,0,PKR5.8 Crore
"Bahria Town, Lahore, Punjab",5 Marla,5,3,0,1,1,2,1,0,1,0,0,0,1,PKR2.05 Crore
"DHA Defence, Lahore, Punjab",5 Marla,6,5,1,0,1,1,1,0,0,0,0,1,0,PKR3 Crore
"Valencia Housing Society, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4 Crore
"Bahria Town, Lahore, Punjab",10 Marla,6,5,0,0,1,2,0,0,0,0,0,0,0,PKR3.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,7,6,1,1,1,1,1,0,1,1,0,1,1,PKR9.25 Crore
"Mian Amiruddin Park, Lahore, Punjab",4 Marla,3,3,1,0,0,2,0,0,0,0,0,0,1,PKR1.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,1,1,1,0,1,1,PKR6.9 Crore
"Mian Amiruddin Park, Lahore, Punjab",5 Marla,6,6,1,0,0,3,0,0,0,0,0,0,1,PKR1.75 Crore
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,1,0,1,1,PKR2.9 Crore
"Bahria Town, Lahore, Punjab",10 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR3.5 Crore
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2 Crore
"Eden, Lahore, Punjab",10 Marla,5,4,0,0,0,0,0,0,0,0,1,0,0,PKR4.7 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.8 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,3,1,1,1,1,0,1,1,PKR7.25 Crore
"DHA Defence, Lahore, Punjab",1.2 Kanal,6,5,1,1,1,1,1,1,1,1,0,1,1,PKR8.9 Crore
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",10 Marla,6,5,1,0,0,2,1,0,1,0,0,0,1,PKR3.1 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR9.25 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,1,0,PKR9.21 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,3,1,0,1,1,0,1,1,PKR6.5 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,1,4,4,1,1,1,1,0,1,1,PKR7.25 Crore
"Allama Iqbal Town, Lahore, Punjab",8 Marla,5,4,1,0,1,2,1,0,1,0,0,0,0,PKR3.75 Crore
"Audit & Accounts Housing Society, Lahore, Punjab",8 Marla,6,5,1,1,1,2,1,0,1,1,0,1,1,PKR2.65 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,0,0,2,1,0,1,0,0,0,1,PKR2.35 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,6,6,1,0,1,1,1,0,1,0,0,1,0,PKR14.41 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,1,1,0,1,0,0,1,0,PKR5.75 Crore
"Nasheman-e-Iqbal, Lahore, Punjab",10 Marla,5,5,1,0,1,2,1,0,0,0,0,0,1,PKR3.25 Crore
"Valencia Housing Society, Lahore, Punjab",10 Marla,5,5,0,0,0,2,1,0,0,0,0,0,1,PKR4.25 Crore
"Mustafabad Lalyani, Lahore, Punjab",3 Marla,1,1,0,0,0,0,0,0,0,0,1,0,0,PKR24 Lakh
"Lahore - Kasur Road, Lahore, Punjab",3 Marla,1,1,0,0,0,0,0,0,0,0,1,0,0,PKR24 Lakh
"Mustafabad Lalyani, Lahore, Punjab",3 Marla,1,1,1,0,1,1,1,0,1,0,0,0,1,PKR24 Lakh
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.85 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,2,2,1,1,1,1,0,1,1,PKR2.05 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.1 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.15 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.9 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,0,1,2,1,1,1,1,0,1,1,PKR1.9 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.05 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR1.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,1,1,1,0,1,1,PKR7.59 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,0,2,1,0,1,1,0,1,1,PKR7.1 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,2,2,1,1,1,1,0,1,1,PKR7.12 Crore
"DHA Defence, Lahore, Punjab",2 Kanal,7,6,1,1,1,2,1,1,1,1,0,1,1,PKR20.5 Crore
"Park View City, Lahore, Punjab",5 Marla,5,5,0,0,1,2,1,0,1,0,0,0,1,PKR1.58 Crore
"Canal Garden, Lahore, Punjab",5 Marla,5,4,1,0,0,2,1,0,1,0,0,0,1,PKR2.1 Crore
"State Life Housing Society, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,0,1,1,0,1,1,PKR1.98 Crore
"Kahna, Lahore, Punjab",2 Marla,3,2,0,0,0,0,0,0,0,0,1,0,0,PKR44 Lakh
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,0,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,1,1,0,1,1,0,1,1,PKR6.75 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,-,-,1,0,1,1,1,0,1,0,0,1,0,PKR6.09 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,0,0,0,1,PKR5.8 Crore
"Bahria Town, Lahore, Punjab",10 Marla,-,-,1,1,1,1,1,1,1,1,0,1,1,PKR4 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,-,-,1,1,1,2,1,1,1,1,0,1,1,PKR5.75 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,0,1,2,1,0,1,0,0,0,1,PKR2.55 Crore
"Al Rehman Garden, Lahore, Punjab",5 Marla,6,5,0,0,0,0,0,0,0,0,1,0,0,PKR1.65 Crore
"DHA 11 Rahbar, Lahore, Punjab",5 Marla,4,3,1,0,1,2,1,0,1,1,0,1,1,PKR2.2 Crore
"DHA Defence, Lahore, Punjab",5 Marla,4,3,1,1,1,2,1,1,1,1,0,1,1,PKR2.1 Crore
"Bahria Town, Lahore, Punjab",5 Marla,4,3,1,1,0,1,1,1,1,1,0,1,1,PKR2.5 Crore
"State Life Housing Society, Lahore, Punjab",5 Marla,4,3,0,1,1,2,1,1,1,1,0,1,1,PKR1.85 Crore
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2 Crore
"Bahria Town, Lahore, Punjab",10 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR4 Crore
"Bahria Town, Lahore, Punjab",5 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR2.25 Crore
"Bahria Town, Lahore, Punjab",10 Marla,-,-,0,0,0,0,0,0,0,0,1,0,0,PKR3.4 Crore
"Al Faisal Town, Lahore, Punjab",1.2 Marla,2,2,0,0,0,1,0,0,0,0,0,0,0,PKR50 Lakh
"Thokar Niaz Baig, Lahore, Punjab",3 Marla,3,3,0,0,1,1,1,0,1,0,0,0,1,PKR90 Lakh
"Central Park Housing Scheme, Lahore, Punjab",3.5 Marla,4,4,0,0,1,2,1,0,1,0,0,0,1,PKR1.25 Crore
"Park View City, Lahore, Punjab",5 Marla,4,4,0,0,1,2,1,0,1,0,0,0,1,PKR1.7 Crore
"Bahria Town, Lahore, Punjab",5 Marla,3,3,0,0,1,2,1,0,0,0,0,0,1,PKR2.15 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,7,0,0,1,2,1,0,1,0,0,0,1,PKR8.5 Crore
"Sui Gas Housing Society, Lahore, Punjab",1 Kanal,6,7,1,1,0,2,1,0,1,1,0,0,1,PKR6.85 Crore
"Park View City, Lahore, Punjab",10 Marla,6,5,1,0,0,2,1,0,1,0,0,0,0,PKR2.3 Crore
"Allama Iqbal Town, Lahore, Punjab",5 Marla,4,5,1,0,1,2,1,0,0,0,0,0,0,PKR2.65 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,5,5,1,0,3,3,1,1,1,1,0,1,1,PKR7.7 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,6,1,1,1,2,1,0,1,1,0,1,1,PKR6.75 Crore
"Bahria Nasheman, Lahore, Punjab",5 Marla,4,3,1,0,0,2,1,0,0,0,0,0,1,PKR1.32 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,1,0,0,0,1,0,0,0,1,PKR5.5 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,5,5,1,1,1,2,1,0,1,1,0,1,1,PKR10 Crore
"GT Road, Lahore, Punjab",4.5 Marla,5,6,0,0,0,0,0,0,0,0,0,0,0,PKR2.25 Crore
"Mohafiz Town, Lahore, Punjab",1 Kanal,4,4,1,0,1,2,1,0,0,0,0,0,0,PKR5.7 Crore
"New Lahore City, Lahore, Punjab",3 Marla,2,2,1,0,1,2,1,1,1,0,0,1,1,PKR85 Lakh
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,1,1,2,1,0,1,0,0,1,1,PKR7.1 Crore
"Cantt, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,0,1,1,0,1,1,PKR2.5 Crore
"DHA Defence, Lahore, Punjab",10 Marla,5,4,1,1,1,2,1,1,1,1,0,1,1,PKR4 Crore
"Bahria Town, Lahore, Punjab",1 Kanal,6,6,1,1,1,2,1,0,1,0,0,0,1,PKR9 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,0,0,0,0,0,0,0,0,0,0,0,PKR7.4 Crore
"DHA Defence, Lahore, Punjab",1 Kanal,6,5,1,0,1,2,1,0,1,0,0,0,1,PKR8.4 Crore
